# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 1 0 959191
0 2 0 b0b0b0
1 2 0 b0b0b0
2 2 0 b0b0b0
3 2 0 959191
0 3 0 b0b0b0
1 3 0 b0b0b0
2 3 0 b0b0b0
3 3 0 b0b0b0
4 3 0 b0b0b0
0 4 0 b0b0b0
1 4 0 b0b0b0
2 4 0 b0b0b0
3 4 0 b0b0b0
4 4 0 b0b0b0
5 4 0 959191
0 5 0 b0b0b0
1 5 0 b0b0b0
2 5 0 b0b0b0
3 5 0 b0b0b0
4 5 0 b0b0b0
5 5 0 b0b0b0
6 5 0 b0b0b0
0 6 0 b0b0b0
1 6 0 b0b0b0
2 6 0 b0b0b0
3 6 0 b0b0b0
4 6 0 b0b0b0
5 6 0 b0b0b0
6 6 0 b0b0b0
0 7 0 b0b0b0
1 7 0 b0b0b0
2 7 0 b0b0b0
3 7 0 b0b0b0
4 7 0 b0b0b0
5 7 0 b0b0b0
6 7 0 b0b0b0
7 7 0 c4c4c4
0 2 1 b0b0b0
1 2 1 c4c4c4
0 3 1 b0b0b0
1 3 1 b0b0b0
2 3 1 b0b0b0
3 3 1 b0b0b0
0 4 1 b0b0b0
1 4 1 b0b0b0
2 4 1 b0b0b0
3 4 1 b0b0b0
4 4 1 b0b0b0
0 5 1 b0b0b0
1 5 1 b0b0b0
2 5 1 b0b0b0
3 5 1 b0b0b0
4 5 1 b0b0b0
5 5 1 b0b0b0
0 6 1 b0b0b0
1 6 1 b0b0b0
2 6 1 b0b0b0
3 6 1 b0b0b0
4 6 1 b0b0b0
5 6 1 b0b0b0
6 6 1 b0b0b0
0 7 1 b0b0b0
1 7 1 b0b0b0
2 7 1 b0b0b0
3 7 1 b0b0b0
4 7 1 b0b0b0
5 7 1 b0b0b0
6 7 1 b0b0b0
0 3 2 b0b0b0
0 4 2 b0b0b0
1 4 2 b0b0b0
2 4 2 959191
3 4 2 b0b0b0
0 5 2 b0b0b0
1 5 2 b0b0b0
2 5 2 b0b0b0
3 5 2 b0b0b0
4 5 2 b0b0b0
5 5 2 959191
0 6 2 b0b0b0
1 6 2 b0b0b0
2 6 2 b0b0b0
3 6 2 b0b0b0
4 6 2 b0b0b0
5 6 2 959191
0 7 2 b0b0b0
1 7 2 b0b0b0
2 7 2 b0b0b0
3 7 2 b0b0b0
4 7 2 b0b0b0
5 7 2 b0b0b0
6 7 2 b0b0b0
0 3 3 959191
0 4 3 b0b0b0
1 4 3 b0b0b0
2 4 3 b0b0b0
3 4 3 c4c4c4
0 5 3 b0b0b0
1 5 3 b0b0b0
2 5 3 b0b0b0
3 5 3 b0b0b0
4 5 3 b0b0b0
0 6 3 b0b0b0
1 6 3 b0b0b0
2 6 3 b0b0b0
3 6 3 b0b0b0
4 6 3 b0b0b0
5 6 3 b0b0b0
0 7 3 b0b0b0
1 7 3 b0b0b0
2 7 3 b0b0b0
3 7 3 b0b0b0
4 7 3 b0b0b0
5 7 3 b0b0b0
0 4 4 b0b0b0
1 4 4 b0b0b0
2 4 4 b0b0b0
0 5 4 b0b0b0
1 5 4 b0b0b0
2 5 4 b0b0b0
3 5 4 b0b0b0
4 5 4 959191
0 6 4 b0b0b0
1 6 4 b0b0b0
2 6 4 b0b0b0
3 6 4 b0b0b0
4 6 4 b0b0b0
0 7 4 b0b0b0
1 7 4 b0b0b0
2 7 4 b0b0b0
3 7 4 b0b0b0
4 7 4 b0b0b0
5 7 4 b0b0b0
0 4 5 959191
1 4 5 b0b0b0
0 5 5 b0b0b0
1 5 5 b0b0b0
2 5 5 e4e4e4
3 5 5 b0b0b0
0 6 5 b0b0b0
1 6 5 b0b0b0
2 6 5 b0b0b0
3 6 5 b0b0b0
4 6 5 b0b0b0
0 7 5 b0b0b0
1 7 5 b0b0b0
2 7 5 b0b0b0
3 7 5 b0b0b0
4 7 5 959191
0 4 6 959191
0 5 6 b0b0b0
1 5 6 b0b0b0
2 5 6 e4e4e4
3 5 6 b0b0b0
0 6 6 b0b0b0
1 6 6 b0b0b0
2 6 6 b0b0b0
3 6 6 e4e4e4
0 7 6 b0b0b0
1 7 6 b0b0b0
2 7 6 b0b0b0
3 7 6 b0b0b0
4 7 6 b0b0b0
0 5 7 b0b0b0
1 5 7 b0b0b0
2 5 7 e4e4e4
0 6 7 b0b0b0
1 6 7 b0b0b0
2 6 7 b0b0b0
3 6 7 e4e4e4
0 7 7 b0b0b0
1 7 7 b0b0b0
2 7 7 b0b0b0
3 7 7 b0b0b0
2 5 8 e4e4e4
0 6 8 54cdd0
1 6 8 7ef8fb
2 6 8 7ef8fb
3 6 8 c9c9c9
0 7 8 7ef8fb
1 7 8 7ef8fb
2 7 8 7ef8fb
2 5 9 c9c9c9
0 6 9 5ee3e5
1 6 9 88e9eb
2 6 9 7ef8fb
3 6 9 e4e4e4
0 7 9 7ef8fb
1 7 9 7ef8fb
2 7 9 54cdd0
2 5 10 e4e4e4
0 6 10 7ef8fb
1 6 10 54cdd0
2 6 10 7ef8fb
3 6 10 e4e4e4
0 7 10 7ef8fb
1 7 10 7ef8fb
2 7 10 7ef8fb
2 5 11 e4e4e4
0 6 11 5ee3e5
1 6 11 5ee3e5
2 6 11 7ef8fb
3 6 11 e4e4e4
0 7 11 7ef8fb
