# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 a4684c
1 0 0 8f563b
2 0 0 a4684c
3 0 0 a4684c
4 0 0 7c422b
5 0 0 8f563b
6 0 0 8f563b
7 0 0 7c422b
0 1 0 8f563b
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
6 1 0 ffffff
7 1 0 7c422b
0 2 0 8f563b
1 2 0 ffffff
2 2 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
6 2 0 ffffff
7 2 0 a4684c
0 3 0 7c422b
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
5 3 0 ffffff
6 3 0 ffffff
7 3 0 8f563b
0 4 0 a4684c
1 4 0 ffffff
2 4 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
5 4 0 ffffff
6 4 0 ffffff
7 4 0 8f563b
0 5 0 8f563b
1 5 0 ffffff
2 5 0 ffffff
3 5 0 ffffff
4 5 0 ffffff
5 5 0 ffffff
6 5 0 ffffff
7 5 0 949494
0 6 0 8f563b
1 6 0 ffffff
2 6 0 ffffff
3 6 0 ffffff
4 6 0 ffffff
5 6 0 ffffff
6 6 0 ffffff
7 6 0 8f563b
0 7 0 8f563b
1 7 0 8f563b
2 7 0 949494
3 7 0 8f563b
4 7 0 a4684c
5 7 0 7c422b
6 7 0 8f563b
7 7 0 8f563b
0 0 1 7c422b
1 0 1 8f563b
2 0 1 8f563b
3 0 1 949494
4 0 1 8f563b
5 0 1 a4684c
6 0 1 8f563b
7 0 1 a4684c
0 1 1 7c422b
1 1 1 ffffff
2 1 1 ffffff
3 1 1 ffffff
4 1 1 ffffff
5 1 1 ffffff
6 1 1 ffffff
7 1 1 8f563b
0 2 1 a4684c
1 2 1 ffffff
2 2 1 ffffff
3 2 1 ffffff
4 2 1 ffffff
5 2 1 ffffff
6 2 1 ffffff
7 2 1 a4684c
0 3 1 6a6a6a
1 3 1 ffffff
2 3 1 ffffff
3 3 1 ffffff
4 3 1 ffffff
5 3 1 ffffff
6 3 1 ffffff
7 3 1 8f563b
0 4 1 8f563b
1 4 1 ffffff
2 4 1 ffffff
3 4 1 ffffff
4 4 1 ffffff
5 4 1 ffffff
6 4 1 ffffff
7 4 1 a4684c
0 5 1 8f563b
1 5 1 ffffff
2 5 1 ffffff
3 5 1 ffffff
4 5 1 ffffff
5 5 1 ffffff
6 5 1 ffffff
7 5 1 a4684c
0 6 1 7c422b
1 6 1 ffffff
2 6 1 ffffff
3 6 1 ffffff
4 6 1 ffffff
5 6 1 ffffff
6 6 1 ffffff
7 6 1 8f563b
0 7 1 a4684c
1 7 1 8f563b
2 7 1 a4684c
3 7 1 8f563b
4 7 1 8f563b
5 7 1 a4684c
6 7 1 8f563b
7 7 1 7c422b
0 0 2 a4684c
1 0 2 8f563b
2 0 2 7c422b
3 0 2 8f563b
4 0 2 a4684c
5 0 2 8f563b
6 0 2 7c422b
7 0 2 7c422b
0 1 2 8f563b
1 1 2 ffffff
2 1 2 ffffff
3 1 2 ffffff
4 1 2 ffffff
5 1 2 ffffff
6 1 2 ffffff
7 1 2 a4684c
0 2 2 8f563b
1 2 2 ffffff
2 2 2 ffffff
3 2 2 ffffff
4 2 2 ffffff
5 2 2 ffffff
6 2 2 ffffff
7 2 2 8f563b
0 3 2 7c422b
1 3 2 ffffff
2 3 2 ffffff
3 3 2 ffffff
4 3 2 ffffff
5 3 2 ffffff
6 3 2 ffffff
7 3 2 8f563b
0 4 2 a4684c
1 4 2 ffffff
2 4 2 ffffff
3 4 2 ffffff
4 4 2 ffffff
5 4 2 ffffff
6 4 2 ffffff
7 4 2 7c422b
0 5 2 8f563b
1 5 2 ffffff
2 5 2 ffffff
3 5 2 ffffff
4 5 2 ffffff
5 5 2 ffffff
6 5 2 ffffff
7 5 2 8f563b
0 6 2 a4684c
1 6 2 ffffff
2 6 2 ffffff
3 6 2 ffffff
4 6 2 ffffff
5 6 2 ffffff
6 6 2 ffffff
7 6 2 8f563b
0 7 2 8f563b
1 7 2 8f563b
2 7 2 7c422b
3 7 2 a4684c
4 7 2 8f563b
5 7 2 a4684c
6 7 2 8f563b
7 7 2 8f563b
0 0 3 8f563b
1 0 3 a4684c
2 0 3 8f563b
3 0 3 8f563b
4 0 3 a4684c
5 0 3 7c422b
6 0 3 8f563b
7 0 3 a4684c
0 1 3 7c422b
1 1 3 ffffff
2 1 3 ffffff
3 1 3 ffffff
4 1 3 ffffff
5 1 3 ffffff
6 1 3 ffffff
7 1 3 8f563b
0 2 3 8f563b
1 2 3 ffffff
2 2 3 ffffff
3 2 3 ffffff
4 2 3 ffffff
5 2 3 ffffff
6 2 3 ffffff
7 2 3 7c422b
0 3 3 8f563b
1 3 3 ffffff
2 3 3 ffffff
3 3 3 ffffff
4 3 3 ffffff
5 3 3 ffffff
6 3 3 ffffff
7 3 3 a4684c
0 4 3 a4684c
1 4 3 ffffff
2 4 3 ffffff
3 4 3 ffffff
4 4 3 ffffff
5 4 3 ffffff
6 4 3 ffffff
7 4 3 8f563b
0 5 3 8f563b
1 5 3 ffffff
2 5 3 ffffff
3 5 3 ffffff
4 5 3 ffffff
5 5 3 ffffff
6 5 3 ffffff
7 5 3 8f563b
0 6 3 949494
1 6 3 ffffff
2 6 3 ffffff
3 6 3 ffffff
4 6 3 ffffff
5 6 3 ffffff
6 6 3 ffffff
7 6 3 949494
0 7 3 7c422b
1 7 3 8f563b
2 7 3 8f563b
3 7 3 8f563b
4 7 3 7c422b
5 7 3 8f563b
6 7 3 8f563b
7 7 3 8f563b
0 0 4 8f563b
1 0 4 a4684c
2 0 4 8f563b
3 0 4 8f563b
4 0 4 7c422b
5 0 4 a4684c
6 0 4 8f563b
7 0 4 7c422b
0 1 4 8f563b
1 1 4 ffffff
2 1 4 ffffff
3 1 4 ffffff
4 1 4 ffffff
5 1 4 ffffff
6 1 4 ffffff
7 1 4 8f563b
0 2 4 7c422b
1 2 4 ffffff
2 2 4 ffffff
3 2 4 ffffff
4 2 4 ffffff
5 2 4 ffffff
6 2 4 ffffff
7 2 4 8f563b
0 3 4 8f563b
1 3 4 ffffff
2 3 4 ffffff
3 3 4 ffffff
4 3 4 ffffff
5 3 4 ffffff
6 3 4 ffffff
7 3 4 6a6a6a
0 4 4 a4684c
1 4 4 ffffff
2 4 4 ffffff
3 4 4 ffffff
4 4 4 ffffff
5 4 4 ffffff
6 4 4 ffffff
7 4 4 8f563b
0 5 4 8f563b
1 5 4 ffffff
2 5 4 ffffff
3 5 4 ffffff
4 5 4 ffffff
5 5 4 ffffff
6 5 4 ffffff
7 5 4 7c422b
0 6 4 7c422b
1 6 4 ffffff
2 6 4 ffffff
3 6 4 ffffff
4 6 4 ffffff
5 6 4 ffffff
6 6 4 ffffff
7 6 4 a4684c
0 7 4 a4684c
1 7 4 7c422b
2 7 4 8f563b
3 7 4 8f563b
4 7 4 949494
5 7 4 8f563b
6 7 4 a4684c
7 7 4 8f563b
0 0 5 18b827
1 0 5 039913
2 0 5 8f563b
3 0 5 a4684c
4 0 5 00af12
5 0 5 8f563b
6 0 5 a4684c
7 0 5 8f563b
0 1 5 00af12
1 1 5 ffffff
2 1 5 ffffff
3 1 5 ffffff
4 1 5 ffffff
5 1 5 ffffff
6 1 5 ffffff
7 1 5 00af12
0 2 5 8f563b
1 2 5 ffffff
2 2 5 ffffff
3 2 5 ffffff
4 2 5 ffffff
5 2 5 ffffff
6 2 5 ffffff
7 2 5 039913
0 3 5 8f563b
1 3 5 ffffff
2 3 5 ffffff
3 3 5 ffffff
4 3 5 ffffff
5 3 5 ffffff
6 3 5 ffffff
7 3 5 8f563b
0 4 5 039913
1 4 5 ffffff
2 4 5 ffffff
3 4 5 ffffff
4 4 5 ffffff
5 4 5 ffffff
6 4 5 ffffff
7 4 5 00af12
0 5 5 a4684c
1 5 5 ffffff
2 5 5 ffffff
3 5 5 ffffff
4 5 5 ffffff
5 5 5 ffffff
6 5 5 ffffff
7 5 5 8f563b
0 6 5 8f563b
1 6 5 ffffff
2 6 5 ffffff
3 6 5 ffffff
4 6 5 ffffff
5 6 5 ffffff
6 6 5 ffffff
7 6 5 a4684c
0 7 5 8f563b
1 7 5 00af12
2 7 5 00af12
3 7 5 a4684c
4 7 5 a4684c
5 7 5 8f563b
6 7 5 039913
7 7 5 00af12
0 0 6 039913
1 0 6 00af12
2 0 6 00af12
3 0 6 039913
4 0 6 039913
5 0 6 00af12
6 0 6 8f563b
7 0 6 039913
0 1 6 039913
1 1 6 ffffff
2 1 6 ffffff
3 1 6 ffffff
4 1 6 ffffff
5 1 6 ffffff
6 1 6 ffffff
7 1 6 00af12
0 2 6 18b827
1 2 6 ffffff
