# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 9a9a9a
1 0 0 b0b0b0
2 0 0 b0b0b0
0 1 0 b0b0b0
1 1 0 b0b0b0
2 1 0 9a9a9a
0 2 0 b0b0b0
1 2 0 b0b0b0
2 2 0 b0b0b0
0 5 0 b0b0b0
1 5 0 b0b0b0
2 5 0 b0b0b0
0 6 0 b0b0b0
1 6 0 b0b0b0
2 6 0 b0b0b0
0 7 0 009e00
1 7 0 c3c3c3
2 7 0 b0b0b0
0 0 1 b0b0b0
1 0 1 9a9a9a
2 0 1 9a9a9a
0 1 1 9a9a9a
1 1 1 b0b0b0
2 1 1 9a9a9a
0 2 1 9a9a9a
1 2 1 b0b0b0
2 2 1 b0b0b0
0 5 1 b0b0b0
1 5 1 b0b0b0
2 5 1 9a9a9a
0 6 1 009e00
1 6 1 b0b0b0
2 6 1 b0b0b0
0 7 1 006800
1 7 1 9a9a9a
2 7 1 c3c3c3
0 0 2 9a9a9a
1 0 2 009e00
2 0 2 009e00
0 1 2 b0b0b0
1 1 2 b0b0b0
2 1 2 b0b0b0
0 2 2 c3c3c3
1 2 2 b0b0b0
2 2 2 9a9a9a
0 5 2 9a9a9a
1 5 2 b0b0b0
2 5 2 b0b0b0
0 6 2 006800
1 6 2 b0b0b0
2 6 2 c3c3c3
0 7 2 b0b0b0
1 7 2 9a9a9a
2 7 2 b0b0b0
0 0 3 b0b0b0
1 0 3 b0b0b0
2 0 3 006800
0 1 3 9a9a9a
1 1 3 b0b0b0
2 1 3 006800
0 2 3 c3c3c3
1 2 3 c3c3c3
2 2 3 00bf00
0 5 3 009e00
1 5 3 b0b0b0
2 5 3 b0b0b0
0 6 3 00bf00
1 6 3 b0b0b0
2 6 3 b0b0b0
0 7 3 9a9a9a
1 7 3 b0b0b0
2 7 3 9a9a9a
0 0 4 c3c3c3
1 0 4 b0b0b0
2 0 4 9a9a9a
0 1 4 b0b0b0
1 1 4 b0b0b0
2 1 4 b0b0b0
0 2 4 9a9a9a
1 2 4 b0b0b0
2 2 4 009e00
0 5 4 009e00
1 5 4 b0b0b0
2 5 4 9a9a9a
0 6 4 b0b0b0
