# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
13 0 0 5d5d5d
14 0 0 6b6b6b
15 0 0 5d5d5d
13 1 0 6b6b6b
14 1 0 6b6b6b
15 1 0 6b6b6b
13 2 0 6b6b6b
14 2 0 6b6b6b
15 2 0 6b6b6b
13 3 0 5d5d5d
14 3 0 6b6b6b
15 3 0 6b6b6b
12 0 1 5d5d5d
13 0 1 5d5d5d
14 0 1 6b6b6b
15 0 1 5d5d5d
12 1 1 6b6b6b
13 1 1 ffffff
14 1 1 ffffff
15 1 1 6b6b6b
12 2 1 6b6b6b
13 2 1 6b6b6b
14 2 1 ffffff
15 2 1 5d5d5d
12 3 1 6b6b6b
13 3 1 6b6b6b
14 3 1 5d5d5d
15 3 1 6b6b6b
11 0 2 5d5d5d
12 0 2 6b6b6b
13 0 2 5d5d5d
14 0 2 5d5d5d
15 0 2 6b6b6b
11 1 2 6b6b6b
12 1 2 ffffff
13 1 2 ffffff
14 1 2 ffffff
15 1 2 6b6b6b
11 2 2 5d5d5d
12 2 2 ffffff
13 2 2 ffffff
14 2 2 ffffff
15 2 2 5d5d5d
11 3 2 6b6b6b
12 3 2 5d5d5d
13 3 2 6b6b6b
14 3 2 6b6b6b
15 3 2 6b6b6b
10 0 3 6b6b6b
11 0 3 5d5d5d
12 0 3 5d5d5d
13 0 3 6b6b6b
14 0 3 6b6b6b
7 1 3 5d5d5d
8 1 3 6b6b6b
10 1 3 6b6b6b
11 1 3 ffffff
12 1 3 ffffff
13 1 3 ffffff
14 1 3 5d5d5d
7 2 3 6b6b6b
8 2 3 6b6b6b
10 2 3 6b6b6b
11 2 3 ffffff
12 2 3 ffffff
13 2 3 ffffff
14 2 3 5d5d5d
10 3 3 6b6b6b
11 3 3 5d5d5d
12 3 3 6b6b6b
13 3 3 6b6b6b
14 3 3 5d5d5d
9 0 4 5d5d5d
10 0 4 6b6b6b
11 0 4 5d5d5d
12 0 4 6b6b6b
13 0 4 5d5d5d
6 1 4 5d5d5d
9 1 4 6b6b6b
10 1 4 ffffff
11 1 4 ffffff
12 1 4 ffffff
13 1 4 5d5d5d
6 2 4 6b6b6b
9 2 4 6b6b6b
10 2 4 ffffff
11 2 4 ffffff
12 2 4 ffffff
13 2 4 6b6b6b
9 3 4 5d5d5d
10 3 4 6b6b6b
11 3 4 6b6b6b
12 3 4 5d5d5d
13 3 4 6b6b6b
8 0 5 6b6b6b
9 0 5 5d5d5d
10 0 5 6b6b6b
11 0 5 6b6b6b
12 0 5 6b6b6b
6 1 5 5d5d5d
8 1 5 6b6b6b
9 1 5 ffffff
10 1 5 ffffff
11 1 5 ffffff
12 1 5 6b6b6b
6 2 5 6b6b6b
8 2 5 6b6b6b
9 2 5 ffffff
10 2 5 ffffff
11 2 5 ffffff
12 2 5 6b6b6b
8 3 5 6b6b6b
9 3 5 6b6b6b
10 3 5 5d5d5d
11 3 5 6b6b6b
12 3 5 5d5d5d
0 0 6 6b6b6b
1 0 6 6b6b6b
2 0 6 5d5d5d
3 0 6 6b6b6b
4 0 6 5d5d5d
5 0 6 6b6b6b
6 0 6 5d5d5d
7 0 6 6b6b6b
8 0 6 5d5d5d
9 0 6 6b6b6b
10 0 6 6b6b6b
11 0 6 5d5d5d
12 0 6 6b6b6b
13 0 6 5d5d5d
14 0 6 6b6b6b
0 1 6 5d5d5d
1 1 6 6b6b6b
2 1 6 6b6b6b
3 1 6 5d5d5d
4 1 6 6b6b6b
5 1 6 6b6b6b
6 1 6 ffffff
7 1 6 6b6b6b
8 1 6 ffffff
9 1 6 ffffff
10 1 6 ffffff
11 1 6 ffffff
12 1 6 ffffff
13 1 6 6b6b6b
14 1 6 5d5d5d
0 2 6 5d5d5d
1 2 6 6b6b6b
2 2 6 6b6b6b
3 2 6 6b6b6b
4 2 6 6b6b6b
5 2 6 6b6b6b
6 2 6 6b6b6b
7 2 6 6b6b6b
8 2 6 ffffff
9 2 6 ffffff
10 2 6 ffffff
11 2 6 ffffff
12 2 6 ffffff
13 2 6 6b6b6b
14 2 6 6b6b6b
0 3 6 6b6b6b
1 3 6 5d5d5d
2 3 6 6b6b6b
3 3 6 6b6b6b
4 3 6 5d5d5d
5 3 6 6b6b6b
6 3 6 5d5d5d
7 3 6 5d5d5d
8 3 6 6b6b6b
9 3 6 5d5d5d
10 3 6 5d5d5d
11 3 6 6b6b6b
12 3 6 5d5d5d
13 3 6 6b6b6b
14 3 6 6b6b6b
0 0 7 343434
1 0 7 343434
2 0 7 2e2e2e
3 0 7 343434
4 0 7 343434
5 0 7 343434
6 0 7 2e2e2e
7 0 7 343434
8 0 7 343434
9 0 7 2e2e2e
10 0 7 343434
11 0 7 343434
12 0 7 2e2e2e
13 0 7 343434
14 0 7 343434
0 1 7 282828
1 1 7 ffffff
2 1 7 ffffff
3 1 7 ffffff
4 1 7 ffffff
5 1 7 ffffff
6 1 7 ffffff
7 1 7 ffffff
8 1 7 ffffff
9 1 7 ffffff
10 1 7 ffffff
11 1 7 ffffff
12 1 7 ffffff
13 1 7 ffffff
14 1 7 343434
0 2 7 282828
1 2 7 ffffff
2 2 7 ffffff
3 2 7 ffffff
4 2 7 ffffff
5 2 7 ffffff
6 2 7 ffffff
7 2 7 ffffff
8 2 7 ffffff
9 2 7 ffffff
10 2 7 ffffff
11 2 7 ffffff
12 2 7 ffffff
13 2 7 ffffff
14 2 7 2e2e2e
0 3 7 343434
1 3 7 343434
2 3 7 2e2e2e
3 3 7 343434
4 3 7 343434
5 3 7 2e2e2e
6 3 7 343434
7 3 7 343434
8 3 7 343434
9 3 7 2e2e2e
10 3 7 343434
11 3 7 343434
12 3 7 343434
13 3 7 2e2e2e
14 3 7 343434
0 0 8 343434
1 0 8 2e2e2e
2 0 8 343434
3 0 8 343434
4 0 8 2e2e2e
5 0 8 343434
6 0 8 343434
7 0 8 2e2e2e
8 0 8 343434
9 0 8 343434
10 0 8 2e2e2e
11 0 8 343434
12 0 8 343434
13 0 8 2e2e2e
14 0 8 2e2e2e
0 1 8 343434
1 1 8 343434
2 1 8 343434
3 1 8 343434
4 1 8 2e2e2e
5 1 8 343434
6 1 8 2e2e2e
7 1 8 2e2e2e
8 1 8 343434
9 1 8 2e2e2e
10 1 8 343434
11 1 8 343434
12 1 8 343434
13 1 8 343434
14 1 8 2e2e2e
0 2 8 343434
1 2 8 343434
2 2 8 2e2e2e
3 2 8 2e2e2e
4 2 8 343434
5 2 8 343434
6 2 8 343434
7 2 8 343434
8 2 8 2e2e2e
9 2 8 343434
10 2 8 343434
11 2 8 2e2e2e
12 2 8 2e2e2e
13 2 8 343434
14 2 8 2e2e2e
0 3 8 343434
1 3 8 2e2e2e
2 3 8 343434
3 3 8 2e2e2e
4 3 8 343434
5 3 8 343434
6 3 8 2e2e2e
7 3 8 343434
8 3 8 2e2e2e
9 3 8 343434
10 3 8 2e2e2e
11 3 8 2e2e2e
12 3 8 343434
13 3 8 343434
14 3 8 2e2e2e
