# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
3 4 0 303030
4 4 0 303030
5 4 0 303030
6 4 0 303030
7 4 0 303030
8 4 0 303030
9 4 0 303030
3 5 0 303030
4 5 0 303030
5 5 0 303030
6 5 0 303030
7 5 0 303030
8 5 0 303030
9 5 0 303030
3 6 0 303030
4 6 0 303030
5 6 0 303030
6 6 0 303030
7 6 0 303030
8 6 0 303030
9 6 0 303030
3 7 0 303030
4 7 0 303030
5 7 0 303030
6 7 0 303030
7 7 0 303030
8 7 0 303030
9 7 0 303030
3 8 0 303030
4 8 0 303030
5 8 0 303030
6 8 0 303030
7 8 0 303030
8 8 0 303030
9 8 0 303030
3 9 0 303030
4 9 0 303030
5 9 0 303030
6 9 0 303030
7 9 0 303030
8 9 0 303030
9 9 0 303030
3 10 0 303030
4 10 0 303030
5 10 0 303030
6 10 0 303030
7 10 0 303030
8 10 0 303030
9 10 0 303030
3 11 0 303030
4 11 0 303030
5 11 0 303030
6 11 0 303030
7 11 0 303030
8 11 0 303030
9 11 0 303030
3 4 1 303030
4 4 1 303030
5 4 1 303030
6 4 1 303030
7 4 1 303030
8 4 1 303030
3 5 1 303030
4 5 1 ffffff
5 5 1 ffffff
6 5 1 303030
7 5 1 303030
8 5 1 303030
9 5 1 303030
3 6 1 303030
4 6 1 ffffff
5 6 1 ffffff
6 6 1 303030
7 6 1 303030
8 6 1 303030
9 6 1 303030
3 7 1 303030
4 7 1 ffffff
5 7 1 ffffff
6 7 1 303030
7 7 1 303030
8 7 1 303030
3 8 1 303030
4 8 1 ffffff
5 8 1 ffffff
6 8 1 303030
7 8 1 303030
8 8 1 303030
3 9 1 303030
4 9 1 ffffff
5 9 1 ffffff
6 9 1 303030
7 9 1 303030
8 9 1 303030
9 9 1 303030
3 10 1 303030
4 10 1 ffffff
5 10 1 ffffff
6 10 1 303030
7 10 1 303030
8 10 1 303030
9 10 1 303030
3 11 1 303030
4 11 1 303030
5 11 1 303030
6 11 1 303030
7 11 1 303030
8 11 1 303030
3 4 2 303030
4 4 2 303030
5 4 2 303030
6 4 2 303030
3 5 2 303030
4 5 2 ffffff
5 5 2 ffffff
6 5 2 303030
7 5 2 303030
8 5 2 303030
3 6 2 303030
4 6 2 ffffff
5 6 2 ffffff
6 6 2 303030
7 6 2 303030
8 6 2 303030
3 7 2 303030
4 7 2 ffffff
5 7 2 ffffff
6 7 2 303030
7 7 2 303030
3 8 2 303030
4 8 2 ffffff
5 8 2 ffffff
6 8 2 303030
7 8 2 303030
3 9 2 303030
4 9 2 ffffff
5 9 2 ffffff
6 9 2 303030
7 9 2 303030
8 9 2 303030
3 10 2 303030
4 10 2 ffffff
5 10 2 ffffff
6 10 2 303030
7 10 2 303030
8 10 2 303030
3 11 2 303030
4 11 2 303030
5 11 2 303030
6 11 2 303030
3 4 3 91b7fb
4 4 3 7da9f9
5 4 3 91b7fb
6 4 3 91b7fb
3 5 3 7da9f9
4 5 3 ffffff
5 5 3 ffffff
6 5 3 91b7fb
3 6 3 91b7fb
4 6 3 ffffff
5 6 3 ffffff
6 6 3 7da9f9
3 7 3 7da9f9
4 7 3 ffffff
5 7 3 ffffff
6 7 3 91b7fb
3 8 3 91b7fb
4 8 3 ffffff
5 8 3 ffffff
6 8 3 91b7fb
3 9 3 91b7fb
4 9 3 ffffff
5 9 3 ffffff
6 9 3 7da9f9
3 10 3 7da9f9
4 10 3 ffffff
5 10 3 ffffff
6 10 3 91b7fb
3 11 3 91b7fb
4 11 3 91b7fb
5 11 3 7da9f9
6 11 3 91b7fb
3 4 4 7da9f9
4 4 4 b6cbe9
5 4 4 b6cbe9
6 4 4 7da9f9
3 5 4 b6cbe9
4 5 4 ffffff
5 5 4 ffffff
6 5 4 7da9f9
3 6 4 b6cbe9
4 6 4 ffffff
5 6 4 ffffff
6 6 4 91b7fb
3 7 4 91b7fb
4 7 4 ffffff
5 7 4 ffffff
6 7 4 91b7fb
3 8 4 7da9f9
4 8 4 ffffff
5 8 4 ffffff
6 8 4 7da9f9
3 9 4 b6cbe9
4 9 4 ffffff
5 9 4 ffffff
6 9 4 91b7fb
3 10 4 b6cbe9
4 10 4 ffffff
5 10 4 ffffff
6 10 4 7da9f9
3 11 4 7da9f9
4 11 4 b6cbe9
5 11 4 b6cbe9
6 11 4 7da9f9
3 4 5 b6cbe9
4 4 5 c0daf3
5 4 5 b6cbe9
6 4 5 91b7fb
3 5 5 c0daf3
4 5 5 ffffff
5 5 5 ffffff
6 5 5 b6cbe9
3 6 5 c0daf3
4 6 5 ffffff
5 6 5 ffffff
6 6 5 b6cbe9
3 7 5 b6cbe9
4 7 5 ffffff
5 7 5 ffffff
6 7 5 91b7fb
3 8 5 b6cbe9
4 8 5 ffffff
5 8 5 ffffff
6 8 5 91b7fb
3 9 5 c0daf3
4 9 5 ffffff
5 9 5 ffffff
6 9 5 b6cbe9
3 10 5 c0daf3
4 10 5 ffffff
5 10 5 ffffff
6 10 5 b6cbe9
3 11 5 b6cbe9
4 11 5 c0daf3
