# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
13 1 11 573022
14 1 11 573022
15 1 11 4a2c19
13 2 11 573022
14 2 11 4a2c19
15 2 11 703c32
11 0 12 573022
12 0 12 703c32
13 0 12 703c32
14 0 12 4a2c19
15 0 12 573022
0 1 12 131313
1 1 12 1a1a1a
2 1 12 1a1a1a
3 1 12 131313
4 1 12 131313
5 1 12 1a1a1a
6 1 12 1a1a1a
7 1 12 131313
8 1 12 131313
9 1 12 1a1a1a
10 1 12 573022
11 1 12 573022
12 1 12 573022
13 1 12 ffffff
14 1 12 ffffff
15 1 12 ffffff
0 2 12 1a1a1a
1 2 12 131313
2 2 12 131313
3 2 12 1a1a1a
4 2 12 1a1a1a
5 2 12 1a1a1a
6 2 12 1a1a1a
7 2 12 131313
8 2 12 1a1a1a
9 2 12 131313
10 2 12 573022
11 2 12 573022
12 2 12 573022
13 2 12 573022
14 2 12 573022
15 2 12 573022
11 3 12 703c32
12 3 12 703c32
13 3 12 4a2c19
14 3 12 573022
15 3 12 703c32
5 0 13 1a1a1a
10 0 13 573022
11 0 13 573022
12 0 13 573022
13 0 13 4a2c19
14 0 13 703c32
15 0 13 573022
13 1 13 573022
14 1 13 ffffff
15 1 13 ffffff
13 2 13 573022
14 2 13 ffffff
15 2 13 ffffff
5 3 13 131313
6 3 13 1a1a1a
10 3 13 703c32
11 3 13 703c32
12 3 13 573022
13 3 13 4a2c19
14 3 13 4a2c19
15 3 13 4a2c19
6 1 14 1a1a1a
7 1 14 131313
8 1 14 1a1a1a
9 1 14 131313
10 1 14 573022
11 1 14 573022
12 1 14 573022
13 1 14 4a2c19
14 1 14 703c32
15 1 14 573022
6 2 14 131313
7 2 14 1a1a1a
8 2 14 131313
9 2 14 1a1a1a
10 2 14 703c32
11 2 14 573022
12 2 14 573022
13 2 14 703c32
14 2 14 573022
15 2 14 4a2c19
-1 1 12 1a1a1a
-1 2 12 131313
-1 0 13 131313
-1 3 13 131313
-1 0 14 1a1a1a
-1 3 14 1a1a1a
-1 1 15 1a1a1a
-1 2 15 131313
16 0 3 1a1a1a
17 0 3 131313
18 0 3 1a1a1a
16 1 3 1a1a1a
17 1 3 1a1a1a
18 1 3 1a1a1a
16 2 3 131313
17 2 3 1a1a1a
18 2 3 1a1a1a
16 3 3 131313
17 3 3 131313
18 3 3 1a1a1a
16 0 4 131313
17 0 4 1a1a1a
18 0 4 131313
19 0 4 131313
16 1 4 131313
17 1 4 1a1a1a
18 1 4 ffffff
19 1 4 1a1a1a
16 2 4 1a1a1a
17 2 4 1a1a1a
18 2 4 ffffff
19 2 4 1a1a1a
16 3 4 131313
17 3 4 131313
18 3 4 1a1a1a
19 3 4 1a1a1a
18 0 5 131313
19 0 5 131313
20 0 5 1a1a1a
30 0 5 573022
31 0 5 703c32
18 1 5 1a1a1a
19 1 5 ffffff
20 1 5 131313
30 1 5 4a2c19
31 1 5 4a2c19
18 2 5 1a1a1a
19 2 5 ffffff
20 2 5 131313
30 2 5 573022
31 2 5 573022
18 3 5 1a1a1a
19 3 5 1a1a1a
20 3 5 131313
30 3 5 573022
31 3 5 573022
19 0 6 1a1a1a
20 0 6 131313
21 0 6 131313
29 0 6 573022
30 0 6 703c32
31 0 6 703c32
19 1 6 131313
20 1 6 ffffff
21 1 6 1a1a1a
29 1 6 4a2c19
30 1 6 ffffff
31 1 6 573022
19 2 6 131313
20 2 6 1a1a1a
21 2 6 1a1a1a
29 2 6 573022
30 2 6 ffffff
31 2 6 573022
19 3 6 131313
20 3 6 131313
21 3 6 1a1a1a
29 3 6 573022
30 3 6 703c32
31 3 6 703c32
20 0 7 131313
21 0 7 131313
29 0 7 573022
30 0 7 703c32
31 0 7 573022
20 1 7 1a1a1a
21 1 7 1a1a1a
29 1 7 573022
30 1 7 ffffff
31 1 7 573022
20 2 7 131313
21 2 7 1a1a1a
29 2 7 573022
30 2 7 ffffff
31 2 7 573022
20 3 7 1a1a1a
21 3 7 1a1a1a
29 3 7 703c32
30 3 7 703c32
31 3 7 573022
20 0 8 1a1a1a
21 0 8 131313
22 0 8 131313
28 0 8 4a2c19
29 0 8 573022
30 0 8 703c32
20 1 8 131313
21 1 8 ffffff
22 1 8 131313
25 1 8 1a1a1a
26 1 8 131313
28 1 8 4a2c19
29 1 8 ffffff
30 1 8 573022
20 2 8 131313
21 2 8 ffffff
22 2 8 1a1a1a
25 2 8 1a1a1a
26 2 8 1a1a1a
28 2 8 573022
29 2 8 ffffff
30 2 8 573022
20 3 8 131313
21 3 8 131313
22 3 8 1a1a1a
28 3 8 573022
29 3 8 703c32
30 3 8 573022
21 0 9 1a1a1a
22 0 9 1a1a1a
27 0 9 573022
28 0 9 573022
29 0 9 573022
30 0 9 703c32
21 1 9 131313
22 1 9 131313
24 1 9 1a1a1a
27 1 9 573022
28 1 9 ffffff
29 1 9 ffffff
30 1 9 703c32
21 2 9 131313
22 2 9 1a1a1a
24 2 9 131313
27 2 9 573022
28 2 9 ffffff
29 2 9 ffffff
30 2 9 703c32
21 3 9 1a1a1a
22 3 9 1a1a1a
27 3 9 573022
28 3 9 703c32
29 3 9 573022
30 3 9 573022
21 0 10 131313
22 0 10 1a1a1a
23 0 10 131313
27 0 10 4a2c19
28 0 10 573022
29 0 10 703c32
21 1 10 131313
22 1 10 ffffff
23 1 10 1a1a1a
27 1 10 573022
28 1 10 ffffff
29 1 10 703c32
21 2 10 1a1a1a
22 2 10 ffffff
23 2 10 1a1a1a
27 2 10 573022
28 2 10 ffffff
29 2 10 573022
21 3 10 131313
22 3 10 131313
23 3 10 1a1a1a
27 3 10 703c32
28 3 10 703c32
29 3 10 573022
21 0 11 131313
22 0 11 131313
23 0 11 131313
27 0 11 1a1a1a
28 0 11 131313
29 0 11 1a1a1a
16 1 11 703c32
17 1 11 703c32
18 1 11 573022
19 1 11 1a1a1a
20 1 11 1a1a1a
21 1 11 1a1a1a
22 1 11 ffffff
23 1 11 ffffff
24 1 11 1a1a1a
25 1 11 1a1a1a
26 1 11 1a1a1a
27 1 11 ffffff
28 1 11 ffffff
29 1 11 ffffff
30 1 11 1a1a1a
31 1 11 131313
16 2 11 703c32
17 2 11 4a2c19
18 2 11 4a2c19
19 2 11 131313
20 2 11 1a1a1a
21 2 11 ffffff
22 2 11 ffffff
23 2 11 ffffff
24 2 11 131313
25 2 11 131313
26 2 11 1a1a1a
27 2 11 1a1a1a
28 2 11 ffffff
29 2 11 ffffff
30 2 11 1a1a1a
31 2 11 1a1a1a
21 3 11 131313
22 3 11 131313
23 3 11 131313
27 3 11 131313
28 3 11 131313
29 3 11 1a1a1a
16 0 12 703c32
17 0 12 703c32
18 0 12 573022
19 0 12 1a1a1a
20 0 12 1a1a1a
21 0 12 131313
22 0 12 1a1a1a
23 0 12 131313
24 0 12 131313
25 0 12 1a1a1a
26 0 12 1a1a1a
27 0 12 131313
28 0 12 131313
29 0 12 1a1a1a
30 0 12 1a1a1a
31 0 12 131313
16 1 12 ffffff
17 1 12 ffffff
18 1 12 ffffff
19 1 12 ffffff
20 1 12 ffffff
21 1 12 ffffff
22 1 12 ffffff
23 1 12 ffffff
24 1 12 ffffff
25 1 12 ffffff
26 1 12 ffffff
27 1 12 ffffff
28 1 12 ffffff
29 1 12 ffffff
30 1 12 ffffff
31 1 12 ffffff
16 2 12 573022
17 2 12 573022
19 2 12 1a1a1a
20 2 12 1a1a1a
21 2 12 ffffff
22 2 12 ffffff
23 2 12 ffffff
24 2 12 ffffff
25 2 12 1a1a1a
26 2 12 1a1a1a
27 2 12 ffffff
28 2 12 ffffff
29 2 12 ffffff
30 2 12 1a1a1a
31 2 12 4a2c19
16 3 12 703c32
17 3 12 573022
18 3 12 4a2c19
19 3 12 131313
20 3 12 131313
21 3 12 1a1a1a
22 3 12 1a1a1a
23 3 12 131313
24 3 12 1a1a1a
25 3 12 1a1a1a
26 3 12 131313
27 3 12 131313
28 3 12 131313
29 3 12 131313
30 3 12 131313
31 3 12 1a1a1a
16 0 13 573022
17 0 13 703c32
18 0 13 573022
19 0 13 1a1a1a
20 0 13 131313
21 0 13 1a1a1a
22 0 13 131313
23 0 13 1a1a1a
24 0 13 131313
25 0 13 1a1a1a
26 0 13 131313
27 0 13 1a1a1a
28 0 13 131313
29 0 13 131313
30 0 13 131313
31 0 13 131313
16 1 13 ffffff
17 1 13 ffffff
18 1 13 ffffff
19 1 13 ffffff
20 1 13 ffffff
21 1 13 ffffff
22 1 13 ffffff
23 1 13 ffffff
24 1 13 ffffff
25 1 13 ffffff
26 1 13 ffffff
27 1 13 ffffff
28 1 13 ffffff
29 1 13 ffffff
30 1 13 ffffff
31 1 13 ffffff
16 2 13 ffffff
17 2 13 ffffff
18 2 13 ffffff
19 2 13 ffffff
20 2 13 ffffff
21 2 13 ffffff
22 2 13 ffffff
23 2 13 ffffff
24 2 13 ffffff
25 2 13 ffffff
26 2 13 ffffff
27 2 13 ffffff
28 2 13 ffffff
29 2 13 ffffff
30 2 13 ffffff
31 2 13 ffffff
16 3 13 573022
17 3 13 573022
18 3 13 573022
19 3 13 1a1a1a
20 3 13 131313
21 3 13 131313
22 3 13 1a1a1a
23 3 13 131313
24 3 13 131313
25 3 13 1a1a1a
26 3 13 1a1a1a
27 3 13 131313
28 3 13 1a1a1a
29 3 13 1a1a1a
30 3 13 131313
31 3 13 131313
16 1 14 573022
17 1 14 703c32
18 1 14 131313
19 1 14 131313
20 1 14 1a1a1a
21 1 14 131313
22 1 14 1a1a1a
23 1 14 131313
24 1 14 131313
25 1 14 1a1a1a
26 1 14 131313
27 1 14 131313
28 1 14 131313
29 1 14 1a1a1a
30 1 14 1a1a1a
31 1 14 131313
16 2 14 4a2c19
17 2 14 573022
18 2 14 1a1a1a
19 2 14 1a1a1a
20 2 14 131313
21 2 14 131313
22 2 14 1a1a1a
23 2 14 1a1a1a
24 2 14 1a1a1a
25 2 14 131313
26 2 14 1a1a1a
27 2 14 1a1a1a
28 2 14 131313
29 2 14 131313
30 2 14 131313
31 2 14 131313
18 1 15 1a1a1a
19 1 15 131313
18 2 15 131313
19 2 15 1a1a1a
41 0 8 4a2c19
42 0 8 573022
43 0 8 573022
44 0 8 703c32
45 0 8 4a2c19
41 1 8 4a2c19
42 1 8 573022
43 1 8 573022
44 1 8 573022
45 1 8 703c32
41 2 8 4a2c19
42 2 8 703c32
43 2 8 703c32
44 2 8 703c32
45 2 8 703c32
41 3 8 4a2c19
42 3 8 4a2c19
43 3 8 703c32
44 3 8 573022
45 3 8 573022
38 0 9 4a2c19
39 0 9 4a2c19
40 0 9 573022
41 0 9 703c32
42 0 9 703c32
43 0 9 703c32
44 0 9 573022
45 0 9 573022
38 1 9 4a2c19
39 1 9 573022
40 1 9 573022
41 1 9 ffffff
42 1 9 ffffff
43 1 9 ffffff
44 1 9 ffffff
45 1 9 4a2c19
38 2 9 703c32
39 2 9 703c32
40 2 9 703c32
41 2 9 ffffff
42 2 9 ffffff
43 2 9 ffffff
44 2 9 ffffff
45 2 9 4a2c19
38 3 9 703c32
39 3 9 573022
40 3 9 573022
41 3 9 4a2c19
42 3 9 4a2c19
43 3 9 573022
44 3 9 573022
45 3 9 4a2c19
32 0 10 4a2c19
33 0 10 4a2c19
34 0 10 703c32
35 0 10 703c32
36 0 10 703c32
37 0 10 4a2c19
38 0 10 703c32
39 0 10 573022
40 0 10 4a2c19
41 0 10 4a2c19
42 0 10 573022
43 0 10 573022
44 0 10 573022
45 0 10 4a2c19
32 1 10 4a2c19
33 1 10 4a2c19
34 1 10 4a2c19
35 1 10 573022
36 1 10 573022
37 1 10 4a2c19
38 1 10 ffffff
39 1 10 ffffff
40 1 10 ffffff
41 1 10 ffffff
42 1 10 ffffff
43 1 10 ffffff
44 1 10 4a2c19
45 1 10 4a2c19
32 2 10 4a2c19
33 2 10 573022
34 2 10 573022
35 2 10 573022
36 2 10 573022
37 2 10 703c32
38 2 10 ffffff
39 2 10 ffffff
40 2 10 ffffff
41 2 10 ffffff
42 2 10 ffffff
43 2 10 ffffff
44 2 10 573022
45 2 10 703c32
32 3 10 703c32
33 3 10 4a2c19
34 3 10 4a2c19
35 3 10 573022
36 3 10 703c32
37 3 10 703c32
38 3 10 573022
39 3 10 573022
40 3 10 703c32
41 3 10 573022
42 3 10 573022
43 3 10 573022
44 3 10 703c32
45 3 10 703c32
32 0 11 4a2c19
33 0 11 703c32
34 0 11 703c32
35 0 11 573022
36 0 11 573022
37 0 11 4a2c19
38 0 11 4a2c19
39 0 11 4a2c19
40 0 11 573022
41 0 11 573022
42 0 11 573022
43 0 11 573022
44 0 11 703c32
45 0 11 703c32
32 1 11 4a2c19
33 1 11 4a2c19
34 1 11 4a2c19
35 1 11 ffffff
36 1 11 ffffff
37 1 11 ffffff
38 1 11 ffffff
39 1 11 ffffff
40 1 11 ffffff
41 1 11 573022
42 1 11 573022
43 1 11 573022
44 1 11 4a2c19
45 1 11 4a2c19
32 2 11 4a2c19
33 2 11 4a2c19
34 2 11 4a2c19
35 2 11 ffffff
36 2 11 ffffff
37 2 11 ffffff
