# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 a8a8a8
1 0 0 a8a8a8
2 0 0 a8a8a8
3 0 0 a8a8a8
4 0 0 a8a8a8
5 0 0 a8a8a8
6 0 0 a8a8a8
7 0 0 a8a8a8
0 1 0 a8a8a8
1 1 0 a8a8a8
2 1 0 a8a8a8
3 1 0 a8a8a8
4 1 0 a8a8a8
5 1 0 a8a8a8
6 1 0 a8a8a8
7 1 0 a8a8a8
8 1 0 a8a8a8
0 2 0 a8a8a8
1 2 0 a8a8a8
2 2 0 a8a8a8
3 2 0 a8a8a8
4 2 0 a8a8a8
5 2 0 a8a8a8
6 2 0 a8a8a8
7 2 0 a8a8a8
8 2 0 b6b3b3
0 3 0 a8a8a8
1 3 0 a8a8a8
2 3 0 a8a8a8
3 3 0 a8a8a8
4 3 0 a8a8a8
5 3 0 a8a8a8
6 3 0 a8a8a8
7 3 0 a8a8a8
8 3 0 726e6e
0 4 0 a8a8a8
1 4 0 a8a8a8
2 4 0 a8a8a8
3 4 0 a8a8a8
4 4 0 a8a8a8
5 4 0 a8a8a8
6 4 0 a8a8a8
7 4 0 a8a8a8
8 4 0 a8a8a8
0 5 0 a8a8a8
1 5 0 a8a8a8
2 5 0 a8a8a8
3 5 0 a8a8a8
4 5 0 a8a8a8
5 5 0 a8a8a8
6 5 0 a8a8a8
7 5 0 a8a8a8
8 5 0 8f8b8b
0 6 0 a8a8a8
1 6 0 a8a8a8
2 6 0 a8a8a8
3 6 0 a8a8a8
4 6 0 a8a8a8
5 6 0 a8a8a8
6 6 0 a8a8a8
7 6 0 a8a8a8
8 6 0 a8a8a8
0 7 0 a8a8a8
1 7 0 726e6e
2 7 0 a8a8a8
3 7 0 a8a8a8
4 7 0 a8a8a8
5 7 0 a8a8a8
6 7 0 a8a8a8
7 7 0 726e6e
2 8 0 b6b3b3
3 8 0 a8a8a8
4 8 0 a8a8a8
5 8 0 a8a8a8
6 8 0 a8a8a8
4 9 0 a8a8a8
5 9 0 b6b3b3
1 0 1 8f8b8b
2 0 1 8f8b8b
3 0 1 a8a8a8
4 0 1 a8a8a8
5 0 1 a8a8a8
6 0 1 a8a8a8
7 0 1 8f8b8b
0 1 1 a8a8a8
1 1 1 726e6e
2 1 1 a8a8a8
3 1 1 a8a8a8
4 1 1 a8a8a8
5 1 1 a8a8a8
6 1 1 a8a8a8
7 1 1 a8a8a8
0 2 1 a8a8a8
1 2 1 a8a8a8
2 2 1 a8a8a8
3 2 1 a8a8a8
4 2 1 a8a8a8
5 2 1 a8a8a8
6 2 1 a8a8a8
7 2 1 a8a8a8
8 2 1 a8a8a8
0 3 1 a8a8a8
1 3 1 a8a8a8
2 3 1 a8a8a8
3 3 1 a8a8a8
4 3 1 a8a8a8
5 3 1 a8a8a8
6 3 1 a8a8a8
7 3 1 a8a8a8
8 3 1 8f8b8b
0 4 1 a8a8a8
1 4 1 a8a8a8
2 4 1 a8a8a8
3 4 1 a8a8a8
4 4 1 a8a8a8
5 4 1 a8a8a8
6 4 1 a8a8a8
7 4 1 a8a8a8
8 4 1 a8a8a8
0 5 1 a8a8a8
1 5 1 a8a8a8
2 5 1 a8a8a8
3 5 1 a8a8a8
4 5 1 a8a8a8
5 5 1 a8a8a8
6 5 1 a8a8a8
7 5 1 a8a8a8
8 5 1 8f8b8b
0 6 1 a8a8a8
1 6 1 a8a8a8
2 6 1 a8a8a8
3 6 1 a8a8a8
4 6 1 a8a8a8
5 6 1 a8a8a8
6 6 1 a8a8a8
7 6 1 8f8b8b
2 7 1 a8a8a8
3 7 1 a8a8a8
4 7 1 a8a8a8
5 7 1 a8a8a8
6 7 1 a8a8a8
3 8 1 a8a8a8
4 8 1 8f8b8b
5 8 1 726e6e
3 0 2 a8a8a8
4 0 2 a8a8a8
5 0 2 726e6e
6 0 2 a8a8a8
2 1 2 a8a8a8
3 1 2 a8a8a8
4 1 2 a8a8a8
5 1 2 a8a8a8
