# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-1 -1 0 5f4010
5 -4 0 5f4010
6 -4 0 815407
7 -4 0 5f4010
3 -3 0 5f4010
4 -3 0 5f4010
5 -3 0 5f4010
6 -3 0 5f4010
7 -3 0 5f4010
8 -3 0 5f4010
9 -3 0 493118
1 -2 0 5f4010
2 -2 0 5f4010
3 -2 0 5f4010
4 -2 0 5f4010
5 -2 0 5f4010
6 -2 0 5f4010
7 -2 0 5f4010
8 -2 0 5f4010
9 -2 0 5f4010
10 -2 0 493118
0 -1 0 5f4010
1 -1 0 5f4010
2 -1 0 5f4010
3 -1 0 5f4010
4 -1 0 5f4010
5 -1 0 5f4010
6 -1 0 5f4010
7 -1 0 5f4010
8 -1 0 5f4010
9 -1 0 5f4010
10 -1 0 5f4010
11 -1 0 5f4010
5 -4 1 815407
6 -4 1 815407
4 -3 1 5f4010
5 -3 1 5f4010
6 -3 1 5f4010
7 -3 1 5f4010
2 -2 1 493118
3 -2 1 5f4010
4 -2 1 5f4010
5 -2 1 5f4010
6 -2 1 5f4010
7 -2 1 5f4010
8 -2 1 5f4010
9 -2 1 493118
0 -1 1 5f4010
1 -1 1 493118
2 -1 1 5f4010
3 -1 1 5f4010
4 -1 1 5f4010
5 -1 1 5f4010
6 -1 1 5f4010
7 -1 1 5f4010
8 -1 1 5f4010
9 -1 1 5f4010
10 -1 1 77531b
6 -4 2 5f4010
4 -3 2 5f4010
5 -3 2 815407
6 -3 2 5f4010
7 -3 2 5f4010
3 -2 2 5f4010
4 -2 2 5f4010
5 -2 2 5f4010
6 -2 2 5f4010
7 -2 2 5f4010
8 -2 2 5f4010
1 -1 2 493118
2 -1 2 77531b
3 -1 2 5f4010
4 -1 2 5f4010
5 -1 2 5f4010
6 -1 2 5f4010
7 -1 2 5f4010
8 -1 2 5f4010
9 -1 2 493118
10 -1 2 5f4010
4 -3 3 5f4010
5 -3 3 815407
6 -3 3 5f4010
3 -2 3 5f4010
4 -2 3 5f4010
5 -2 3 815407
6 -2 3 5f4010
7 -2 3 5f4010
2 -1 3 77531b
3 -1 3 5f4010
4 -1 3 5f4010
5 -1 3 5f4010
6 -1 3 5f4010
7 -1 3 5f4010
8 -1 3 77531b
9 -1 3 493118
4 -2 4 815407
3 -1 4 5f4010
4 -1 4 5f4010
5 -1 4 815407
6 -1 4 5f4010
7 -1 4 77531b
8 -1 4 77531b
4 -1 5 5f4010
5 -1 5 493118
-1 0 0 5f4010
-1 1 0 5f4010
-2 2 0 5f4010
-1 2 0 5f4010
-3 3 0 5f4010
-2 3 0 5f4010
-1 3 0 5f4010
-3 4 0 5f4010
-2 4 0 5f4010
-1 4 0 5f4010
-3 5 0 5f4010
-2 5 0 5f4010
-1 5 0 5f4010
-3 6 0 5f4010
-2 6 0 5f4010
-1 6 0 5f4010
-2 7 0 5f4010
-1 7 0 5f4010
-2 8 0 77531b
-1 8 0 5f4010
-1 9 0 5f4010
-1 10 0 5f4010
-1 0 1 815407
-1 1 1 815407
-1 2 1 5f4010
-3 3 1 77531b
-2 3 1 5f4010
-1 3 1 5f4010
-2 4 1 5f4010
-1 4 1 5f4010
-2 5 1 5f4010
-1 5 1 5f4010
-2 6 1 5f4010
-1 6 1 5f4010
-2 7 1 5f4010
-1 7 1 5f4010
-1 8 1 77531b
-2 3 2 77531b
-1 3 2 5f4010
-2 4 2 5f4010
-1 4 2 5f4010
-2 5 2 5f4010
-1 5 2 5f4010
-2 6 2 5f4010
-1 6 2 5f4010
-1 7 2 77531b
-1 3 3 5f4010
-2 4 3 77531b
-1 4 3 5f4010
-1 5 3 5f4010
-2 6 3 5f4010
-1 6 3 5f4010
-1 3 4 77531b
-1 4 4 77531b
-1 5 4 5f4010
-1 6 4 5f4010
0 0 0 5f4010
1 0 0 5f4010
2 0 0 5f4010
3 0 0 5f4010
4 0 0 5f4010
5 0 0 5f4010
6 0 0 815407
7 0 0 5f4010
8 0 0 77531b
9 0 0 5f4010
10 0 0 5f4010
11 0 0 5f4010
0 1 0 5f4010
2 1 0 5f4010
3 1 0 77531b
4 1 0 5f4010
5 1 0 5f4010
6 1 0 5f4010
7 1 0 5f4010
8 1 0 5f4010
9 1 0 5f4010
10 1 0 5f4010
11 1 0 5f4010
12 1 0 5f4010
0 2 0 5f4010
1 2 0 5f4010
2 2 0 5f4010
3 2 0 5f4010
4 2 0 5f4010
5 2 0 5f4010
6 2 0 5f4010
7 2 0 5f4010
8 2 0 5f4010
9 2 0 5f4010
10 2 0 5f4010
11 2 0 5f4010
12 2 0 5f4010
13 2 0 5f4010
0 3 0 5f4010
1 3 0 5f4010
2 3 0 5f4010
3 3 0 5f4010
4 3 0 5f4010
5 3 0 5f4010
6 3 0 5f4010
7 3 0 5f4010
8 3 0 5f4010
9 3 0 5f4010
10 3 0 5f4010
11 3 0 5f4010
12 3 0 5f4010
13 3 0 5f4010
14 3 0 5f4010
0 4 0 5f4010
1 4 0 815407
2 4 0 5f4010
3 4 0 5f4010
4 4 0 5f4010
5 4 0 5f4010
6 4 0 5f4010
7 4 0 5f4010
8 4 0 5f4010
9 4 0 5f4010
10 4 0 77531b
11 4 0 5f4010
12 4 0 5f4010
13 4 0 5f4010
14 4 0 5f4010
0 5 0 5f4010
1 5 0 5f4010
2 5 0 5f4010
3 5 0 5f4010
4 5 0 5f4010
5 5 0 5f4010
6 5 0 5f4010
7 5 0 5f4010
8 5 0 5f4010
9 5 0 5f4010
10 5 0 5f4010
11 5 0 5f4010
12 5 0 5f4010
13 5 0 5f4010
14 5 0 5f4010
0 6 0 5f4010
1 6 0 5f4010
2 6 0 5f4010
3 6 0 5f4010
4 6 0 5f4010
