# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 1b50c0
1 0 0 21438e
2 0 0 1b50c0
3 0 0 497cca
4 0 0 1b50c0
5 0 0 497cca
6 0 0 1b50c0
7 0 0 1b50c0
0 1 0 21438e
1 1 0 1b50c0
2 1 0 1b50c0
3 1 0 1b50c0
4 1 0 21438e
5 1 0 1b50c0
6 1 0 1b50c0
7 1 0 1b50c0
0 2 0 497cca
1 2 0 1b50c0
2 2 0 497cca
3 2 0 1b50c0
4 2 0 1b50c0
5 2 0 497cca
6 2 0 1b50c0
7 2 0 497cca
0 3 0 1b50c0
1 3 0 21438e
2 3 0 1b50c0
3 3 0 1b50c0
4 3 0 497cca
5 3 0 1b50c0
6 3 0 1b50c0
7 3 0 1b50c0
0 4 0 1b50c0
1 4 0 497cca
2 4 0 1b50c0
3 4 0 497cca
4 4 0 1b50c0
5 4 0 1b50c0
6 4 0 21438e
7 4 0 1b50c0
0 5 0 21438e
1 5 0 497cca
2 5 0 1b50c0
3 5 0 1b50c0
4 5 0 21438e
5 5 0 497cca
6 5 0 1b50c0
7 5 0 497cca
0 6 0 497cca
1 6 0 1b50c0
2 6 0 497cca
3 6 0 1b50c0
4 6 0 497cca
5 6 0 1b50c0
6 6 0 1b50c0
7 6 0 1b50c0
0 7 0 1b50c0
1 7 0 497cca
2 7 0 1b50c0
3 7 0 1b50c0
4 7 0 1b50c0
5 7 0 21438e
6 7 0 497cca
7 7 0 1b50c0
0 0 1 497cca
1 0 1 497cca
2 0 1 1b50c0
3 0 1 1b50c0
4 0 1 1b50c0
5 0 1 1b50c0
6 0 1 21438e
7 0 1 497cca
0 1 1 1b50c0
1 1 1 ffffff
2 1 1 ffffff
3 1 1 ffffff
4 1 1 ffffff
5 1 1 ffffff
6 1 1 ffffff
7 1 1 21438e
0 2 1 1b50c0
1 2 1 ffffff
2 2 1 ffffff
3 2 1 ffffff
4 2 1 ffffff
5 2 1 ffffff
6 2 1 ffffff
7 2 1 1b50c0
0 3 1 497cca
1 3 1 ffffff
2 3 1 ffffff
3 3 1 ffffff
4 3 1 ffffff
5 3 1 ffffff
6 3 1 ffffff
7 3 1 497cca
0 4 1 1b50c0
1 4 1 ffffff
2 4 1 ffffff
3 4 1 ffffff
4 4 1 ffffff
5 4 1 ffffff
6 4 1 ffffff
7 4 1 1b50c0
0 5 1 1b50c0
1 5 1 ffffff
2 5 1 ffffff
3 5 1 ffffff
4 5 1 ffffff
5 5 1 ffffff
6 5 1 ffffff
7 5 1 21438e
0 6 1 1b50c0
1 6 1 ffffff
2 6 1 ffffff
3 6 1 ffffff
4 6 1 ffffff
5 6 1 ffffff
6 6 1 ffffff
7 6 1 1b50c0
0 7 1 1b50c0
1 7 1 21438e
2 7 1 1b50c0
3 7 1 21438e
4 7 1 497cca
5 7 1 1b50c0
6 7 1 1b50c0
7 7 1 497cca
0 0 2 1b50c0
1 0 2 21438e
2 0 2 1b50c0
3 0 2 1b50c0
4 0 2 497cca
5 0 2 1b50c0
6 0 2 1b50c0
7 0 2 1b50c0
0 1 2 21438e
1 1 2 ffffff
2 1 2 ffffff
3 1 2 ffffff
4 1 2 ffffff
5 1 2 ffffff
6 1 2 ffffff
7 1 2 1b50c0
0 2 2 1b50c0
1 2 2 ffffff
2 2 2 ffffff
3 2 2 ffffff
4 2 2 ffffff
5 2 2 ffffff
6 2 2 ffffff
7 2 2 1b50c0
0 3 2 1b50c0
1 3 2 ffffff
2 3 2 ffffff
3 3 2 ffffff
4 3 2 ffffff
5 3 2 ffffff
6 3 2 ffffff
7 3 2 497cca
0 4 2 21438e
1 4 2 ffffff
2 4 2 ffffff
3 4 2 ffffff
4 4 2 ffffff
5 4 2 ffffff
6 4 2 ffffff
7 4 2 1b50c0
0 5 2 497cca
1 5 2 ffffff
2 5 2 ffffff
3 5 2 ffffff
4 5 2 ffffff
5 5 2 ffffff
6 5 2 ffffff
7 5 2 1b50c0
0 6 2 1b50c0
1 6 2 ffffff
2 6 2 ffffff
3 6 2 ffffff
4 6 2 ffffff
5 6 2 ffffff
6 6 2 ffffff
7 6 2 1b50c0
0 7 2 497cca
1 7 2 1b50c0
2 7 2 1b50c0
3 7 2 497cca
4 7 2 1b50c0
5 7 2 21438e
6 7 2 1b50c0
7 7 2 1b50c0
0 0 3 497cca
1 0 3 1b50c0
2 0 3 1b50c0
3 0 3 21438e
4 0 3 1b50c0
5 0 3 1b50c0
6 0 3 497cca
7 0 3 21438e
0 1 3 1b50c0
1 1 3 ffffff
2 1 3 ffffff
3 1 3 ffffff
4 1 3 ffffff
5 1 3 ffffff
6 1 3 ffffff
7 1 3 497cca
0 2 3 497cca
1 2 3 ffffff
2 2 3 ffffff
3 2 3 ffffff
4 2 3 ffffff
5 2 3 ffffff
6 2 3 ffffff
7 2 3 1b50c0
0 3 3 1b50c0
1 3 3 ffffff
2 3 3 ffffff
3 3 3 ffffff
4 3 3 ffffff
5 3 3 ffffff
6 3 3 ffffff
7 3 3 1b50c0
0 4 3 1b50c0
1 4 3 ffffff
2 4 3 ffffff
3 4 3 ffffff
4 4 3 ffffff
5 4 3 ffffff
6 4 3 ffffff
7 4 3 21438e
0 5 3 1b50c0
1 5 3 ffffff
2 5 3 ffffff
3 5 3 ffffff
4 5 3 ffffff
5 5 3 ffffff
6 5 3 ffffff
7 5 3 497cca
0 6 3 1b50c0
1 6 3 ffffff
2 6 3 ffffff
3 6 3 ffffff
4 6 3 ffffff
5 6 3 ffffff
6 6 3 ffffff
7 6 3 21438e
0 7 3 1b50c0
1 7 3 497cca
2 7 3 21438e
3 7 3 1b50c0
4 7 3 1b50c0
5 7 3 1b50c0
6 7 3 497cca
7 7 3 497cca
0 0 4 1b50c0
1 0 4 1b50c0
2 0 4 497cca
3 0 4 1b50c0
4 0 4 21438e
5 0 4 1b50c0
6 0 4 21438e
7 0 4 497cca
0 1 4 1b50c0
1 1 4 21438e
2 1 4 ffffff
3 1 4 497cca
4 1 4 ffffff
5 1 4 ffffff
6 1 4 ffffff
7 1 4 1b50c0
0 2 4 21438e
1 2 4 ffffff
2 2 4 ffffff
3 2 4 1b50c0
4 2 4 ffffff
5 2 4 ffffff
6 2 4 ffffff
7 2 4 1b50c0
0 3 4 1b50c0
1 3 4 ffffff
2 3 4 ffffff
3 3 4 ffffff
4 3 4 ffffff
5 3 4 ffffff
6 3 4 ffffff
7 3 4 497cca
0 4 4 497cca
1 4 4 ffffff
2 4 4 ffffff
3 4 4 ffffff
4 4 4 ffffff
5 4 4 ffffff
6 4 4 ffffff
7 4 4 1b50c0
0 5 4 1b50c0
1 5 4 1b50c0
2 5 4 ffffff
3 5 4 1b50c0
4 5 4 ffffff
5 5 4 ffffff
6 5 4 ffffff
7 5 4 497cca
0 6 4 1b50c0
1 6 4 1b50c0
2 6 4 ffffff
3 6 4 1b50c0
4 6 4 1b50c0
5 6 4 ffffff
6 6 4 ffffff
7 6 4 1b50c0
0 7 4 21438e
1 7 4 1b50c0
2 7 4 1b50c0
3 7 4 497cca
4 7 4 21438e
5 7 4 1b50c0
6 7 4 1b50c0
7 7 4 21438e
0 0 5 1b50c0
