# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 754920
1 0 0 8c561c
6 0 0 754920
7 0 0 68390a
0 1 0 8c561c
1 1 0 754920
6 1 0 754920
7 1 0 754920
0 6 0 754920
1 6 0 754920
6 6 0 754920
7 6 0 754920
0 7 0 8c561c
1 7 0 754920
6 7 0 754920
7 7 0 8c561c
0 0 1 68390a
1 0 1 8c561c
6 0 1 754920
7 0 1 754920
0 1 1 8c561c
1 1 1 754920
6 1 1 754920
7 1 1 754920
0 6 1 68390a
1 6 1 68390a
6 6 1 754920
7 6 1 68390a
0 7 1 8c561c
1 7 1 754920
6 7 1 68390a
7 7 1 754920
0 0 2 68390a
1 0 2 68390a
6 0 2 68390a
7 0 2 754920
0 1 2 8c561c
1 1 2 8c561c
6 1 2 754920
7 1 2 68390a
0 6 2 68390a
1 6 2 68390a
6 6 2 754920
7 6 2 68390a
0 7 2 754920
1 7 2 68390a
6 7 2 68390a
7 7 2 68390a
0 0 3 68390a
1 0 3 68390a
6 0 3 68390a
7 0 3 8c561c
0 1 3 754920
1 1 3 8c561c
6 1 3 754920
7 1 3 68390a
0 6 3 68390a
1 6 3 754920
6 6 3 754920
7 6 3 68390a
0 7 3 8c561c
1 7 3 68390a
6 7 3 754920
7 7 3 68390a
0 0 4 8c561c
1 0 4 68390a
6 0 4 754920
7 0 4 8c561c
0 1 4 754920
1 1 4 8c561c
6 1 4 754920
7 1 4 68390a
0 6 4 68390a
1 6 4 754920
6 6 4 754920
7 6 4 754920
0 7 4 8c561c
1 7 4 68390a
6 7 4 8c561c
7 7 4 68390a
0 0 5 8c561c
1 0 5 754920
6 0 5 8c561c
7 0 5 8c561c
0 1 5 754920
1 1 5 754920
6 1 5 754920
7 1 5 68390a
0 6 5 754920
1 6 5 754920
6 6 5 754920
7 6 5 754920
0 7 5 754920
1 7 5 754920
6 7 5 8c561c
7 7 5 754920
0 0 6 8c561c
1 0 6 8c561c
2 0 6 8c561c
3 0 6 754920
4 0 6 754920
5 0 6 754920
6 0 6 754920
7 0 6 754920
0 1 6 754920
1 1 6 68390a
2 1 6 68390a
3 1 6 68390a
4 1 6 754920
5 1 6 8c561c
6 1 6 8c561c
7 1 6 8c561c
0 2 6 8c561c
1 2 6 8c561c
2 2 6 754920
3 2 6 8c561c
4 2 6 8c561c
5 2 6 8c561c
6 2 6 754920
7 2 6 754920
0 3 6 754920
1 3 6 754920
2 3 6 754920
3 3 6 68390a
4 3 6 68390a
5 3 6 68390a
6 3 6 68390a
7 3 6 754920
0 4 6 754920
1 4 6 8c561c
2 4 6 8c561c
3 4 6 8c561c
4 4 6 754920
5 4 6 8c561c
6 4 6 8c561c
7 4 6 8c561c
0 5 6 8c561c
1 5 6 754920
2 5 6 68390a
3 5 6 68390a
4 5 6 68390a
5 5 6 68390a
6 5 6 754920
7 5 6 754920
0 6 6 754920
1 6 6 754920
2 6 6 8c561c
3 6 6 8c561c
4 6 6 8c561c
5 6 6 8c561c
6 6 6 8c561c
7 6 6 754920
0 7 6 754920
1 7 6 68390a
2 7 6 68390a
3 7 6 68390a
4 7 6 754920
5 7 6 68390a
6 7 6 68390a
7 7 6 68390a
1 0 7 5a330d
2 0 7 5a330d
3 0 7 5a330d
1 1 7 452305
2 1 7 784811
3 1 7 452305
1 2 7 5a330d
2 2 7 5a330d
3 2 7 5a330d
6 2 7 47260a
6 3 7 47260a
1 4 7 939393
6 4 7 47260a
0 5 7 7b7a7a
1 5 7 5c5c5c
2 5 7 939393
5 5 7 404040
6 5 7 404040
7 5 7 404040
1 6 7 5c5c5c
2 6 7 7b7a7a
3 6 7 939393
2 7 7 939393
1 1 8 452305
2 1 8 452305
3 1 8 452305
1 5 8 7b7a7a
1 6 8 939393
